iter	Passed	Remaining
401	17705	26337
402	17743	26284
403	17782	26233
404	17820	26180
405	17857	26126
406	17905	26087
407	17952	26048
408	17983	25985
409	18028	25942
410	18065	25889
411	18115	25853
412	18152	25800
413	18199	25760
414	18230	25698
415	18262	25637
416	18310	25599
417	18347	25545
418	18394	25506
419	18441	25467
420	18479	25415
421	18525	25373
422	18572	25334
423	18620	25296
424	18667	25256
425	18712	25214
426	18760	25175
427	18807	25135
428	18854	25095
429	18894	25046
430	18943	25008
431	18990	24968
432	19020	24906
433	19068	24868
434	19109	24820
435	19155	24779
436	19196	24730
437	19235	24681
438	19273	24629
439	19322	24591
440	19369	24551
441	19415	24511
442	19455	24461
443	19486	24402
444	19535	24363
445	19566	24304
446	19596	24243
447	19644	24205
448	19676	24145
449	19713	24094
450	19744	24034
451	19782	23984
452	19820	23933
453	19868	23894
454	19915	23855
455	19946	23796
456	19992	23754
457	20037	23712
458	20083	23671
459	20120	23620
460	20169	23581
461	20208	23533
462	20253	23491
463	20290	23439
464	20328	23389
465	20360	23331
466	20397	23280
467	20436	23231
468	20474	23181
469	20522	23141
470	20561	23093
471	20607	23052
472	20652	23010
473	20698	22969
474	20729	22911
475	20778	22873
476	20809	22815
477	20856	22775
478	20903	22736
479	20934	22679
480	20966	22622
481	21014	22583
482	21046	22528
483	21086	22481
484	21137	22444
485	21186	22407
486	21232	22366
487	21263	22309
488	21312	22271
489	21350	22222
490	21398	22183
491	21430	22127
492	21458	22067
493	21497	22019
494	21534	21969
495	21564	21912
496	21596	21857
497	21626	21800
498	21665	21752
499	21697	21697
500	21728	21641
501	21759	21586
502	21788	21528
503	21821	21475
504	21859	21426
505	21906	21387
506	21944	21338
507	21983	21290
508	22020	21241
509	22057	21192
510	22105	21154
511	22153	21115
512	22201	21076
513	22232	21021
514	22263	20966
515	22300	20917
516	22346	20876
517	22394	20838
518	22426	20784
519	22464	20736
520	22513	20698
521	22563	20661
522	22595	20608
523	22644	20570
524	22675	20516
525	22714	20469
526	22746	20415
527	22778	20362
528	22817	20315
529	22857	20269
530	22889	20216
531	22923	20165
532	22970	20126
533	23003	20074
534	23035	20021
535	23081	19981
536	23120	19934
537	23168	19895
538	23198	19841
539	23239	19796
540	23287	19758
541	23326	19711
542	23367	19666
543	23414	19626
544	23451	19578
545	23481	19524
546	23513	19472
547	23544	19420
548	23576	19367
549	23614	19321
550	23652	19273
551	23681	19220
552	23723	19175
553	23754	19123
554	23793	19077
555	23842	19039
556	23881	18993
557	23920	18947
558	23967	18908
559	24015	18869
560	24054	18823
561	24087	18772
562	24119	18721
563	24149	18668
564	24189	18623
565	24220	18572
566	24269	18533
567	24308	18488
568	24339	18436
569	24373	18386
570	24422	18348
571	24454	18298
572	24502	18259
573	24540	18212
574	24579	18167
575	24620	18123
576	24650	18070
577	24681	18020
578	24713	17969
579	24760	17930
580	24791	17878
581	24840	17840
582	24871	17789
583	24910	17744
584	24948	17698
585	24994	17658
586	25025	17607
587	25062	17560
588	25099	17514
589	25137	17468
590	25166	17416
591	25213	17377
592	25259	17336
593	25297	17290
594	25344	17250
595	25374	17200
596	25413	17155
597	25450	17109
598	25480	17057
599	25530	17020
600	25578	16981
601	25608	16930
602	25639	16880
603	25670	16830
604	25701	16780
605	25748	16740
606	25779	16690
607	25810	16641
608	25841	16590
609	25880	16546
610	25911	16496
611	25959	16457
612	25990	16408
613	26037	16368
614	26082	16328
615	26112	16277
616	26143	16228
617	26180	16183
618	26225	16142
619	26265	16098
620	26314	16059
621	26344	16010
622	26382	15964
623	26427	15924
624	26473	15883
625	26520	15844
626	26557	15799
627	26605	15759
628	26636	15710
629	26666	15661
630	26713	15621
631	26747	15574
632	26780	15526
633	26813	15478
634	26854	15435
635	26881	15384
636	26912	15336
637	26944	15288
638	26990	15248
639	27037	15208
640	27069	15160
641	27100	15112
642	27148	15073
643	27179	15024
644	27219	14981
645	27266	14941
646	27304	14897
647	27352	14858
648	27381	14808
649	27412	14760
650	27443	14712
651	27470	14662
652	27508	14617
653	27540	14570
654	27570	14522
655	27601	14474
656	27638	14429
657	27686	14390
658	27716	14342
659	27746	14293
660	27778	14246
661	27825	14207
662	27856	14159
663	27893	14114
664	27941	14075
665	27980	14032
666	28008	13983
667	28038	13935
668	28069	13887
669	28108	13844
670	28154	13804
671	28185	13757
672	28215	13709
673	28265	13671
674	28314	13632
675	28361	13593
676	28399	13549
677	28428	13501
678	28460	13454
679	28492	13408
680	28539	13368
681	28568	13320
682	28617	13282
683	28654	13238
684	28681	13189
685	28730	13150
686	28761	13103
687	28792	13057
688	28830	13013
689	28868	12970
690	28905	12926
691	28938	12880
692	28976	12836
693	29024	12797
694	29071	12758
695	29102	12711
696	29134	12665
697	29173	12622
698	29204	12575
699	29236	12529
700	29268	12483
701	29298	12437
702	29338	12394
703	29378	12352
704	29409	12306
705	29441	12260
706	29474	12215
707	29514	12172
708	29563	12133
709	29596	12088
710	29629	12043
711	29678	12004
712	29709	11958
713	29749	11916
714	29781	11871
715	29813	11825
716	29851	11782
717	29882	11736
