iter	AUC	Logloss
167	0.9252894819	0.2856719173
168	0.9253709614	0.285499672
169	0.9253852665	0.2854449187
170	0.9254261851	0.2852810336
171	0.9254609048	0.2852190261
172	0.925484091	0.2851372241
173	0.9255156219	0.2850808587
174	0.925542891	0.2849789437
175	0.9255431592	0.2849726642
176	0.9255551696	0.2848783595
177	0.9256047904	0.284776332
178	0.9256123006	0.2847574373
179	0.9256616235	0.2846716802
180	0.9257029295	0.2846026809
181	0.9257228971	0.2845082825
182	0.9257506728	0.2844607833
183	0.9258133769	0.2843054646
184	0.9258768559	0.284184861
185	0.9259477556	0.2840221006
186	0.9259983003	0.2839259964
187	0.9260080457	0.2838681877
188	0.9260493219	0.2837428043
189	0.9260872304	0.2836801032
190	0.9261513054	0.2835158619
191	0.9261727929	0.2834700311
192	0.9261817932	0.2834498618
193	0.9261912405	0.2834323729
194	0.9262156188	0.2833871419
195	0.9262531996	0.2833332509
196	0.926258862	0.2833259404
197	0.9262777567	0.2832073426
198	0.9263045192	0.2831633674
199	0.9263228178	0.2831166931
200	0.9263572097	0.2830587719
201	0.9263830483	0.2830072427
202	0.9264110029	0.2829569693
203	0.9264374375	0.2829054588
204	0.9264588654	0.2828342101
205	0.9265165031	0.2827262218
206	0.9265604913	0.2826405209
207	0.9265820682	0.2825833495
208	0.926610738	0.2825412864
209	0.9266109467	0.2825358504
210	0.9266307354	0.2824829528
211	0.9267056584	0.2823470161
212	0.926820904	0.282101254
213	0.9268237948	0.2820964179
214	0.9268342257	0.2820664451
215	0.9268758893	0.2819627118
216	0.9269088209	0.2819055966
217	0.9269132614	0.2818991672
218	0.9269413352	0.2818514244
219	0.9269488752	0.2818033629
220	0.9269652069	0.281778976
221	0.9269844592	0.2817552265
222	0.9269855917	0.2817503341
223	0.9269943833	0.281714288
224	0.9269983768	0.2816757676
225	0.9270029962	0.2816671638
226	0.9270072877	0.2816567042
227	0.9270189404	0.2816372847
228	0.9270299971	0.2816181088
229	0.9270399809	0.2816005825
230	0.9270440042	0.2815928784
231	0.9270715415	0.2815175996
232	0.9270766675	0.2815068402
233	0.9270973802	0.2814683198
234	0.927115798	0.2814300993
235	0.9271167517	0.2814212705
236	0.9271707833	0.281337819
237	0.9271751642	0.2813259161
238	0.9271836877	0.2813181371
239	0.9271843731	0.28131645
240	0.927195698	0.2812927192
241	0.9272010922	0.2812787919
242	0.9272072911	0.2812692696
243	0.9273134768	0.2810372474
244	0.9274437726	0.280833736
245	0.9274725914	0.2807946157
246	0.9274876714	0.2807612314
247	0.9274923503	0.280742899
248	0.9275284111	0.2806920634
249	0.9275299013	0.2806907137
250	0.9275660217	0.2805643181
251	0.9275709391	0.2805596507
252	0.9275976717	0.2805070905
253	0.9276210368	0.2804716254
254	0.9276272953	0.2804557487
255	0.9276602566	0.2803901046
256	0.9276815951	0.2803416308
257	0.9276819229	0.2803404499
258	0.9276871979	0.2803295779
259	0.9277101159	0.2802656584
260	0.9277368784	0.2802161911
261	0.9277384877	0.2802142979
262	0.9277605414	0.28017574
263	0.9277952909	0.2801217552
264	0.9278237224	0.2800679579
265	0.9278262258	0.2800604787
266	0.9278534055	0.2800273755
267	0.927864641	0.2799999895
268	0.9278677702	0.2799955845
269	0.9278747737	0.2799714225
270	0.9278841019	0.2798990117
271	0.927916348	0.2798434711
272	0.927937746	0.2798133671
273	0.9279518127	0.2797802264
274	0.9279794395	0.2797286409
275	0.9279811382	0.2797257542
276	0.9279872179	0.2796921075
277	0.9279889762	0.2796888459
278	0.9279916286	0.2796795672
279	0.9279972613	0.2796684516
280	0.92801103	0.2796435211
281	0.9280280769	0.2796112802
282	0.928050369	0.2795700793
283	0.9280557632	0.27954991
284	0.9280713201	0.2795269477
285	0.9280810356	0.2795094027
286	0.9280840456	0.2794987931
287	0.9280998707	0.2794770493
288	0.9281187952	0.2794386226
289	0.9281207919	0.2794340114
290	0.9281306565	0.2794093621
291	0.9281546175	0.2793707479
292	0.9281548262	0.2793701856
293	0.9282026887	0.2792397411
294	0.9282073975	0.2792200216
295	0.9282190502	0.27920362
296	0.9282249808	0.2791937415
297	0.9283136725	0.2789464049
298	0.9283154309	0.2789256358
299	0.9283188581	0.2789021674
300	0.9283235669	0.2788970501
301	0.9283435345	0.278858286
302	0.9283702075	0.2787649935
303	0.9283847809	0.2787390133
304	0.9283980727	0.2787181692
305	0.9284014106	0.2787135955
306	0.9284122884	0.2786946446
307	0.9284417629	0.278641747
308	0.9284419119	0.2786402662
309	0.9284458756	0.278633818
310	0.9284695089	0.2785553151
311	0.9284700453	0.2785539842
312	0.928486675	0.2785197751
313	0.9284896255	0.2784870843
314	0.9285025597	0.2784333057
315	0.9285385311	0.2783608948
316	0.9285636246	0.2783152327
317	0.9285811484	0.2782842664
318	0.9285811484	0.2782841539
319	0.9285959005	0.2782590548
320	0.9286218584	0.2781845445
321	0.9286358356	0.2781589017
322	0.9286610484	0.2781149266
323	0.9286822677	0.2780852912
324	0.9287206531	0.2779729166
325	0.9287266433	0.2779570023
326	0.9287281334	0.2779516413
327	0.9287345409	0.2779223808
328	0.9287361205	0.2779174884
329	0.9287503362	0.2778897088
330	0.9287510216	0.2778880967
331	0.9287604392	0.2778580864
332	0.9287635982	0.2778524817
333	0.9288072884	0.2777800334
334	0.9288220108	0.277751129
335	0.9288227856	0.277697088
336	0.9288244247	0.2776954385
337	0.9288254976	0.2776940514
338	0.9288603663	0.2776460649
339	0.9288609624	0.2776447152
340	0.9288652241	0.2775876376
341	0.9288673103	0.2775848446
342	0.9288773537	0.2775563151
343	0.9288904071	0.2775345525
344	0.9288987219	0.2775130711
345	0.9289064705	0.2774990313
346	0.9289244413	0.2774656282
347	0.928928405	0.2774614294
348	0.9289384484	0.2774449902
349	0.9289644063	0.2773731042
350	0.9289719462	0.2773541346
351	0.9289824069	0.2773095034
352	0.9289990067	0.2772831483
353	0.9290012121	0.2772721827
354	0.9290156066	0.2772483769
355	0.9290158749	0.277247927
356	0.9290319085	0.2772146364
357	0.9290321469	0.2772141303
358	0.9290320277	0.2772139428
359	0.9290403128	0.2771983097
360	0.929071635	0.2771476052
361	0.9290739	0.2771430128
362	0.929110378	0.277075738
363	0.9291107655	0.2770746695
364	0.9291147292	0.277058624
365	0.92911762	0.2770520446
366	0.9291507602	0.2770021462
367	0.9291615188	0.2769801961
368	0.929177314	0.2769317598
369	0.9291868508	0.2769129963
370	0.9291882515	0.2768943453
371	0.9291953146	0.2768753382
372	0.9292104244	0.2768562748
373	0.9292128086	0.2768554125
374	0.929215014	0.2768516261
375	0.9292495549	0.2767859258
376	0.9292643666	0.27676212
377	0.929266423	0.2767448749
378	0.9292725325	0.2767164204
379	0.9292743206	0.2767116967
380	0.9292810559	0.2767024743
381	0.9292988777	0.2766741136
382	0.9293040335	0.2766543004
383	0.9293138087	0.2766320129
384	0.9293144643	0.2766299885
385	0.929318428	0.2765611204
386	0.9293566346	0.276486985
387	0.9293704927	0.2764646601
388	0.9293715656	0.276458493
389	0.9293822944	0.2764282391
390	0.9293827116	0.2764274518
391	0.9294327796	0.2763070544
392	0.929433316	0.2763060047
393	0.9294351041	0.2763036241
394	0.9294808209	0.2762385237
395	0.9294847548	0.2761988224
396	0.9294896424	0.2761952609
397	0.929492265	0.2761936114
398	0.9295158982	0.2761143962
399	0.9295452237	0.2760638792
400	0.9295636117	0.2760371492
401	0.9295738935	0.2760198853
402	0.9295778573	0.2760065953
403	0.9295799434	0.2760009906
404	0.929607302	0.2759635387
405	0.929611057	0.2759553285
406	0.9296194911	0.2759399578
407	0.9296316206	0.2759131341
408	0.9296384454	0.2758990193
409	0.9296428561	0.2758859355
410	0.9296472371	0.275876282
