iter	MultiClass
222	0.1207842306
223	0.1207010295
224	0.1203954875
225	0.1202596436
226	0.119584259
227	0.1193784485
228	0.1190669759
229	0.1190317993
230	0.118987498
231	0.11889269
232	0.1186310527
233	0.1186123149
234	0.1175347493
235	0.1172023112
236	0.11699941
237	0.1167730204
238	0.1164450785
239	0.1162345581
240	0.1161636963
241	0.1160717773
242	0.1159443258
243	0.1155953471
244	0.1154428304
245	0.1152908529
246	0.1151772766
247	0.1151002706
248	0.1150522766
249	0.1150102539
250	0.1147147217
251	0.1145178324
252	0.1144579264
253	0.1140426839
254	0.1139788717
255	0.1138557027
256	0.1137984314
257	0.1137504171
258	0.1134980977
259	0.1134178467
260	0.1133130188
261	0.1131487223
262	0.1127478027
263	0.1126403503
264	0.1125573018
265	0.1123477783
266	0.1121467183
267	0.1121299947
268	0.11203243
269	0.1118932495
270	0.1118324992
271	0.1115105184
272	0.1113147786
273	0.11128184
274	0.110813151
275	0.1107486674
276	0.1106422424
277	0.1104830627
278	0.1103893636
279	0.1096955973
280	0.1096245219
281	0.1096205241
282	0.1094283854
283	0.1092867432
284	0.1092760315
285	0.10917158
286	0.1090795186
287	0.1090683492
288	0.1089718424
289	0.108838562
290	0.1086924438
291	0.1085213928
292	0.1083947042
293	0.1082130229
294	0.1080851237
295	0.1078077799
296	0.1077876892
297	0.1077436727
298	0.1076629435
299	0.1075124512
300	0.1075075582
301	0.1074417725
302	0.1071549988
303	0.1069578145
304	0.1068789368
305	0.1067521261
306	0.1065244751
307	0.1064847717
308	0.1063375346
309	0.1063035583
310	0.1060039978
311	0.1060004476
312	0.1054560852
313	0.1053818054
314	0.1052744853
315	0.1051172791
316	0.1050947978
317	0.1049520162
318	0.1047985128
319	0.1047243042
320	0.1046326396
321	0.1044062195
322	0.10426474
323	0.1040324198
324	0.1039815572
325	0.1038559875
326	0.1036981913
327	0.1032790019
328	0.1031993408
329	0.1030480042
330	0.1030051676
331	0.1029482015
332	0.1028511353
333	0.1026579997
334	0.1025905762
335	0.1025812887
336	0.1024153646
337	0.1023738403
338	0.1022760824
339	0.1021830241
340	0.1021455485
341	0.1021420898
342	0.1020023499
343	0.1019652913
344	0.1018688761
345	0.1017518311
346	0.101676005
347	0.1015013631
348	0.1012059733
349	0.1011182149
350	0.1009487712
351	0.1008688354
352	0.1007731934
353	0.1005905965
354	0.1005283305
355	0.10034729
356	0.1002418823
357	0.1000816854
358	0.09992652384
359	0.09989815267
360	0.0998327535
361	0.0997828064
362	0.09970396932
363	0.09964645386
364	0.09964003499
365	0.09956041463
366	0.09950664266
367	0.09943225098
368	0.09941348267
369	0.09932669067
370	0.09893981934
371	0.09891608683
372	0.09885222371
373	0.09881298828
374	0.09877994792
375	0.09863619995
376	0.0985814209
377	0.098162323
378	0.0978735555
379	0.09771496582
380	0.09764367676
381	0.09750815837
382	0.09731501261
383	0.09722220866
384	0.09709040324
385	0.09691648356
386	0.0967943929
387	0.09674393717
388	0.09669309489
389	0.09654525757
390	0.09650033569
391	0.09636325073
392	0.09629783122
393	0.09618335978
394	0.09593471273
395	0.09578643799
396	0.09561085002
397	0.09546857707
398	0.09526749674
399	0.09517981974
400	0.09510032145
401	0.09503962199
402	0.0950041097
403	0.09492689006
404	0.09487017822
405	0.09449464925
406	0.09447738647
407	0.09422710164
408	0.0940305481
409	0.09398121134
410	0.09387746175
411	0.09372422282
412	0.09367845662
413	0.09357128906
414	0.09351285807
415	0.09343748983
416	0.09324037679
417	0.09310603841
418	0.09309065755
419	0.09306486003
420	0.09292294312
421	0.09286151123
422	0.09283629354
423	0.09275016276
424	0.09270150757
425	0.09267278035
426	0.09261803182
427	0.09259065755
428	0.09244764201
429	0.09236869303
430	0.09229801432
431	0.09208104451
432	0.09202379354
433	0.09202152507
434	0.09179075114
435	0.09171582031
436	0.09166281128
437	0.09154588826
438	0.09142789714
439	0.09127418009
440	0.09123118083
441	0.09111189779
442	0.09096078491
443	0.09095900472
444	0.0907811381
445	0.09072550456
446	0.09066697184
447	0.09057285563
448	0.09049869792
449	0.09047317505
450	0.09041036987
451	0.09033566284
452	0.09025375366
453	0.09018703206
454	0.09013868205
455	0.09002787272
456	0.08998352051
457	0.08994556681
458	0.08977085368
459	0.0897584432
460	0.08962710571
461	0.08942483521
462	0.08940620931
463	0.08927214559
464	0.08907715861
465	0.08906450399
466	0.08900964355
467	0.08889827474
468	0.08884491984
469	0.08856543986
470	0.08841249593
471	0.08838231405
472	0.08827370199
473	0.0882180481
474	0.08819108073
475	0.08812375895
476	0.08806232707
477	0.0880203654
478	0.0879549764
479	0.08789540609
480	0.08780670166
481	0.08774195353
482	0.08736248779
483	0.08732076009
484	0.08721474202
485	0.08709146118
486	0.08680644735
487	0.08673068237
488	0.08672559611
489	0.08664813232
490	0.08656559245
491	0.08655948893
492	0.08649794515
493	0.08646724447
494	0.08641084798
495	0.08638301595
496	0.08620266724
497	0.08611431885
498	0.0860008138
499	0.08593802897
500	0.08591911825
501	0.08590844727
502	0.08561355591
503	0.08548878988
504	0.0854611613
505	0.08540735881
506	0.08539400228
507	0.08528211975
508	0.08516742452
509	0.0851386261
510	0.08506670634
511	0.08502858988
512	0.08494565328
513	0.08485348511
514	0.08479335531
515	0.08473847961
516	0.08469432576
517	0.08461057536
518	0.0844740804
519	0.0844625295
520	0.08436403402
521	0.08436113993
522	0.08422220866
523	0.08416601054
524	0.0841030426
525	0.08404364014
526	0.08397682699
527	0.08394399516
528	0.08389726257
529	0.08380681864
530	0.0837470754
531	0.08366123454
532	0.083606191
533	0.08355803426
534	0.08346508789
535	0.0833784078
536	0.08336719767
537	0.08329492187
538	0.08309293111
539	0.08301217651
540	0.08295544942
541	0.08292435201
542	0.08283884176
543	0.08258083089
544	0.08245443217
545	0.08241049194
546	0.08236063131
547	0.08228279114
548	0.0822442627
549	0.08212091064
550	0.08203487142
551	0.08191063436
552	0.08181559245
553	0.08169759623
554	0.08155460612
555	0.08154643758
556	0.08153540548
557	0.08151701864
558	0.08145283
559	0.08129921977
560	0.08116810099
561	0.08099690755
562	0.08076994324
563	0.08070875041
564	0.08066870626
565	0.08059911092
566	0.08054704793
567	0.0804848175
568	0.08033299255
569	0.08028927104
570	0.08025625102
571	0.08011814372
572	0.0800766449
573	0.07992289225
574	0.07988238017
575	0.0798007609
576	0.07978627523
577	0.07956299845
578	0.07949623108
579	0.07942332458
580	0.07919600932
581	0.07898259481
582	0.07894561768
583	0.07890016174
584	0.07881044006
585	0.07878356934
586	0.07872447713
587	0.07871192424
588	0.07864217631
589	0.07864018758
590	0.07860154724
591	0.07856536865
592	0.07839017232
593	0.07835139465
594	0.07831286112
595	0.07822509766
596	0.07816603597
597	0.07812346395
598	0.07798766073
599	0.07787473551
600	0.07785322571
601	0.07783240763
602	0.07777015686
603	0.07758035787
604	0.0775607961
605	0.0774101766
606	0.0773309021
607	0.07726448059
608	0.07710105896
609	0.07707329305
610	0.0770070343
611	0.07692400614
612	0.07673872375
613	0.07658757528
614	0.07654753621
615	0.07650359599
616	0.07648690796
617	0.07643680318
618	0.07636165873
619	0.07630273438
620	0.07623744202
621	0.07616257222
622	0.07606402588
623	0.07604067485
624	0.07598194377
625	0.07592504883
626	0.07586337789
627	0.07577460734
628	0.0757438914
629	0.07569720459
630	0.07566318766
631	0.07551158142
632	0.07543380229
633	0.0753436025
634	0.07530264791
635	0.07511856079
636	0.07506047567
637	0.07502882894
638	0.07488613892
639	0.07485038757
640	0.07482289632
641	0.0747371877
642	0.07453955078
643	0.0745128479
644	0.07448208618
645	0.07443668111
646	0.0743973999
647	0.07431814067
648	0.07420998637
649	0.07414929199
650	0.07409436544
651	0.07406503296
652	0.07402742513
653	0.0739693807
654	0.07390382385
655	0.07386020406
656	0.07376291402
657	0.07372032166
658	0.07369169108
659	0.07362358602
660	0.07353392537
661	0.07348390198
662	0.07319373067
663	0.07311163839
664	0.07300900269
665	0.07296914673
666	0.07289663696
667	0.07284787496
668	0.07273530579
669	0.07269485982
670	0.07267129008
671	0.07262187195
672	0.07256982931
673	0.07254136658
674	0.07236722819
675	0.07232898966
676	0.07225611369
677	0.07216898092
678	0.0719597524
679	0.07193035889
680	0.07187568665
681	0.07181152344
682	0.07164701843
683	0.07156600444
684	0.07129658508
685	0.07124187215
686	0.07122876994
687	0.07120657349
688	0.07110469055
689	0.07101888529
690	0.07091738892
691	0.07089494324
692	0.0707882843
693	0.07075013733
694	0.07071141561
695	0.07064089966
696	0.07057082621
697	0.0704674174
698	0.07037765503
699	0.07023060099
700	0.07009408061
701	0.07000687663
702	0.06994965617
703	0.06976278687
704	0.06974758403
705	0.06967528788
706	0.0696497345
707	0.06963021342
708	0.0694218394
709	0.06933678182
710	0.06917645264
711	0.0690983429
712	0.06899150085
713	0.06890921021
714	0.06887967428
715	0.06884390767
716	0.06866157023
717	0.06864801534
718	0.06861810811
719	0.06855521139
720	0.06850520833
721	0.06839206441
722	0.06835054525
723	0.06829314168
724	0.0682758077
725	0.06822151693
726	0.06819182332
727	0.06801418559
728	0.06794207255
729	0.06792318217
730	0.06785688782
731	0.06779555766
732	0.06767204793
733	0.06762119039
734	0.06746372986
735	0.06741270447
736	0.06729624939
737	0.06728974915
738	0.06721437073
739	0.06710114034
740	0.06703014119
741	0.06702041117
742	0.06696054077
743	0.06691022746
744	0.06687897746
745	0.06668215434
746	0.06665013631
747	0.06657912191
748	0.06654693095
749	0.06646505737
750	0.06643124898
751	0.06636856588
752	0.06629388936
753	0.06626879374
754	0.06619529724
755	0.06611541748
756	0.06598570251
757	0.06595366923
758	0.06591667684
759	0.06586838277
760	0.0657440389
761	0.06563792928
762	0.06560350545
763	0.06551025391
764	0.06538566589
765	0.06531782532
766	0.06520900472
767	0.06516427612
768	0.06511369832
769	0.0650811971
770	0.06503029378
771	0.06497575887
772	0.06490300496
773	0.06488819885
774	0.0648616333
775	0.06473514811
776	0.06468663025
777	0.06465266927
778	0.06458324178
779	0.06456653341
780	0.06441574097
781	0.06438302104
782	0.06430742391
783	0.06425506083
784	0.06417868551
785	0.06412030029
786	0.06395441691
787	0.06378126017
788	0.06374911499
789	0.06371440633
790	0.06368312581
791	0.06354856873
792	0.06343155924
793	0.06330507914
794	0.0632097168
795	0.063133962
796	0.06298180135
797	0.06284099325
798	0.06282201131
799	0.06281045024
800	0.06270709737
801	0.06263132731
802	0.06260442607
803	0.06259058126
804	0.06241807556
805	0.06234190369
806	0.06225851949
807	0.06216843669
808	0.06211630758
809	0.06208000183
810	0.06200403341
811	0.06194602966
812	0.06190044657
813	0.06182000732
814	0.06181847636
815	0.06177655538
816	0.06173543803
817	0.06168218994
818	0.06165341695
819	0.06161191813
820	0.06147436015
821	0.06137280273
822	0.06136817424
823	0.06130976359
824	0.0612207489
825	0.06112469482
826	0.06106939189
827	0.06104902649
828	0.06096515401
829	0.06078385925
830	0.06067823792
831	0.06064628601
832	0.06061948649
833	0.06045568848
834	0.06037150065
835	0.06036001587
836	0.06030756124
837	0.060164505
838	0.06007525635
839	0.05998059082
840	0.05991639709
841	0.05986079407
842	0.05979609172
843	0.05969595337
844	0.05967135111
845	0.0594774882
846	0.0594570516
847	0.05932175191
848	0.05925949097
849	0.05919176737
850	0.05918552144
851	0.059096934
852	0.05905661011
853	0.05897694397
854	0.05892598979
855	0.05878825378
856	0.05871876017
857	0.0586844991
858	0.05861468506
859	0.05860069275
860	0.05849631755
861	0.05846890259
862	0.05844770304
863	0.05840306091
864	0.05830330404
865	0.05824149577
866	0.05818946838
867	0.05815200806
868	0.05810187276
869	0.05809028625
870	0.05795999146
871	0.05794148763
872	0.05787306213
873	0.0577405599
874	0.05768280538
875	0.05765015666
876	0.05758506775
877	0.05754042053
878	0.05751690674
879	0.05751129659
880	0.05748791504
881	0.05734732056
882	0.05732724508
883	0.05727430216
884	0.05712110392
885	0.05702664693
886	0.05701590474
887	0.05695981344
888	0.05693676758
889	0.05689821879
890	0.05675514221
891	0.05667560832
892	0.05664239502
893	0.05660131327
894	0.05658273315
895	0.05654721069
896	0.05651848348
897	0.05643499756
898	0.05639508057
899	0.05636980693
900	0.05632173665
901	0.05629049174
902	0.05627252197
903	0.05623455811
904	0.05620898437
905	0.05616815694
906	0.05607506816
907	0.05602664185
908	0.05602151489
909	0.05596050517
910	0.05590481567
911	0.05587213135
912	0.05578933207
913	0.05576859029
914	0.05567420451
915	0.05553272502
916	0.05552075195
917	0.05548147583
918	0.05545521545
919	0.05541036987
920	0.05540398153
921	0.05538591003
922	0.05530629476
923	0.05526935323
924	0.05525014242
925	0.05523157247
926	0.05521457418
927	0.05517656453
928	0.05516157532
929	0.05514874268
930	0.05499969482
931	0.05497761536
932	0.05493511963
933	0.05484723918
934	0.05484197998
935	0.05482502747
936	0.05475849406
937	0.05469671631
938	0.05466000366
939	0.05462828573
940	0.0545091451
941	0.05448173523
942	0.05427860514
943	0.05419776408
944	0.05412255351
945	0.05411205037
946	0.05407850138
947	0.05407473246
948	0.05405253092
949	0.05396440125
950	0.05394130452
951	0.05391080221
952	0.0538728892
953	0.05386282349
954	0.05382731628
955	0.05379910278
956	0.05378407288
957	0.0536542867
958	0.05361813863
959	0.0535869751
960	0.0535014801
961	0.05346083577
962	0.05344452922
963	0.0533382314
964	0.05321453349
965	0.05312177022
966	0.05303445943
967	0.05301596069
968	0.052982488
969	0.05294179281
970	0.05286415609
971	0.05278534444
972	0.05271536255
973	0.05264722188
974	0.05261144002
975	0.05246524556
976	0.05241567993
977	0.05237090556
978	0.05233428446
979	0.05227472941
980	0.05225378927
981	0.05220896912
982	0.05213065084
983	0.05210500081
984	0.05205670166
985	0.05203736877
986	0.05200572713
987	0.05198445638
988	0.05194311015
989	0.05193222555
990	0.05179304504
991	0.05176279704
992	0.05172493998
993	0.05169481913
994	0.05166407776
995	0.05160552979
996	0.05159436544
997	0.05155927022
998	0.05152083842
999	0.05148050435
